    IT IT PN PN TT TT WT WT SIZE SIZE LE LE AC AC CF CF PP_EF_L PP_EF_L SP_EB_L SP_EB_L
statistic    0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR
problem planning_mode online_bounds AL                    
ps1 offline NONE 1 1.0 0.0 1.0 0.0 6.61589319999996 0.4244097000001261 9.932376100000049 0.43438540000014747 18.0 0.0 28.0 1.0 40.0 0.0 0.7 0.02499999999999991 1.555555555555556 0.055555555555556024 0.4122312949338949 0.016424946998409684
ps1 offline NONE 2 1.0 0.0 1.0 0.0 2.038825800000041 0.08879459999999995 3.300938199999962 0.08498869999999581 13.0 0.0 18.0 0.0 27.0 0.0 0.6666666666666666 0.0 1.384615384615385 0.0 0.4697648479246601 0.0
ps1 offline NONE 3 1.0 0.0 1.0 0.0 1.218128100000058 0.06606469999999809 1.218128100000058 0.06606469999999809 1.0 0.0 13.0 0.0 19.0 0.0 0.6842105263157895 0.0 1.0 0.0 0.0 0.0
ps1 online "(2, 2)" 1 2.5 1.5 2.5 1.5 1.5853431999999832 0.9413554750000306 2.1621973999999398 2.6603106999999047 4.5 1.5 7.0 4.5 9.5 5.0 0.6794871794871795 0.10576923076923073 1.5 0.48750000000000027 0.4053016325570221 0.0708997025172251
ps1 online "(2, 2)" 2 1.5 1.0 1.5 1.0 1.223422399999862 0.49559997499999575 1.8297231999999042 1.7122840250000362 6.5 1.0 9.0 4.0 13.5 5.0 0.6619318181818181 0.051136363636363646 1.4166666666666665 0.833333333333333 0.2053016325570221 0.4106032651140442
ps1 online "(2, 2)" 3 1.0 0.0 1.0 0.0 1.2162228500001504 0.008484999999949894 1.2162228500001504 0.008484999999949894 1.0 0.0 13.0 0.0 19.0 0.0 0.6842105263157895 0.0 1.0 0.0 0.0 0.0
ps1 online "(2, 4)" 1 4.5 3.5 4.5 3.5 0.7850270499999823 0.6544027500000245 1.088047799999913 1.2296721499999776 2.0 1.0 3.5 2.25 5.0 3.0 0.75 0.4 1.666666666666667 0.5 0.4714045207910317 0.47855339059327373
ps1 online "(2, 4)" 2 1.5 1.0 1.5 1.0 1.264038999999968 0.4835315000001401 1.8746430500000315 1.712002300000108 6.5 1.0 9.0 4.0 13.5 5.0 0.6619318181818181 0.051136363636363646 1.4166666666666665 0.833333333333333 0.2053016325570221 0.4106032651140442
ps1 online "(2, 4)" 3 1.0 0.0 1.0 0.0 1.223369549999887 0.011849150000021513 1.223369549999887 0.011849150000021513 1.0 0.0 13.0 0.0 19.0 0.0 0.6842105263157895 0.0 1.0 0.0 0.0 0.0
ps1 online "(2, 6)" 1 6.5 5.5 6.5 5.5 0.43436674999998104 0.21644222499996602 0.5717645500000117 0.71965817499996 1.5 1.0 2.0 1.0 3.0 2.0 0.75 0.33333333333333337 1.5 0.625 0.0 0.4714045207910317
ps1 online "(2, 6)" 2 1.5 1.0 1.5 1.0 1.2557101000000443 0.5047205250000246 1.857704800000022 1.7234561500000818 6.5 1.0 9.0 4.0 13.5 5.0 0.6619318181818181 0.051136363636363646 1.4166666666666665 0.833333333333333 0.2053016325570221 0.4106032651140442
ps1 online "(2, 6)" 3 1.0 0.0 1.0 0.0 1.217702149999951 0.016247425000003535 1.217702149999951 0.016247425000003535 1.0 0.0 13.0 0.0 19.0 0.0 0.6842105263157895 0.0 1.0 0.0 0.0 0.0
ps1 online "(4, 2)" 1 4.5 3.5 4.5 3.5 0.583439599999938 0.3860121499998783 0.9289650000000336 1.2297539500001802 2.0 0.25 3.0 0.5 4.0 3.0 0.75 0.16666666666666674 1.5 0.16666666666666696 0.4714045207910317 0.12499435927725627
ps1 online "(4, 2)" 2 2.5 1.5 2.5 1.5 0.491103049999996 0.35869174999994163 0.491103049999996 0.7077501749999939 3.0 0.25 4.0 1.0 6.0 1.25 0.6666666666666666 0.050000000000000044 1.1666666666666665 0.583333333333333 0.12371791482634835 0.29383004771257737
ps1 online "(4, 2)" 3 1.0 0.0 1.0 0.0 1.2127281500000606 0.015585775000035218 1.2127281500000606 0.015585775000035218 1.0 0.0 13.0 0.0 19.0 0.0 0.6842105263157895 0.0 1.0 0.0 0.0 0.0
ps1 online "(4, 4)" 1 8.0 8.0 8.0 8.0 0.42302884999999435 0.3155061999999873 0.4261315499999512 0.8053398500000921 1.0 0.0 2.0 2.0 3.0 3.0 0.75 0.33333333333333337 2.0 1.0 0.0 0.0
ps1 online "(4, 4)" 2 2.5 1.5 2.5 1.5 0.4912223000000182 0.35607655000007554 0.4912223000000182 0.6867388250001625 3.0 0.25 4.0 1.0 6.0 1.25 0.6666666666666666 0.050000000000000044 1.1666666666666665 0.583333333333333 0.12371791482634835 0.29383004771257737
ps1 online "(4, 4)" 3 1.0 0.0 1.0 0.0 1.2162284500000735 0.01429417499977581 1.2162284500000735 0.01429417499977581 1.0 0.0 13.0 0.0 19.0 0.0 0.6842105263157895 0.0 1.0 0.0 0.0 0.0
ps1 online "(4, 6)" 1 9.0 8.0 9.0 8.0 0.4150966000000835 0.14628217499998175 0.41826385000013033 0.559552675000166 1.0 0.0 2.0 1.0 2.0 1.0 0.6666666666666666 0.4444444444444444 2.0 1.0 0.0 0.0
ps1 online "(4, 6)" 2 2.5 1.5 2.5 1.5 0.4854104499999963 0.3674606500000124 0.4854104499999963 0.709342650000103 3.0 0.25 4.0 1.0 6.0 1.25 0.6666666666666666 0.050000000000000044 1.1666666666666665 0.583333333333333 0.12371791482634835 0.29383004771257737
