problem   ps15 ps15 ps15 ps15 ps15 ps15 ps15 ps15
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
planning_mode AL PN        
online 1.0 1.0 3.3899349000000716 3.3899349000000716   7.0 12.0 1.714285714285714 0.7559289460184544
online 1.0 2.0 1.776249049999997 5.1482018500000635   8.0 12.0 1.5 0.7559289460184544
online 1.0 3.0 0.6296078999999963 5.745032850000072   4.0 6.0 1.5 0.5773502691896257
online 1.0 4.0 1.119044599999981 6.93639320000004   4.0 10.0 2.5 2.380476142847617
online 2.0 1.0 2.142000400000029 2.142000400000029   7.0 15.0 2.142857142857143 1.069044967649698
online 2.0 2.0 0.46112660000000005 2.6061631500001248   8.0 8.0 1.0 0.0
online 3.0 1.0 0.9766769999998743 0.9766769999998743   1.0 15.0 1.0 0.0
