problem ps15 ps15 ps15 ps15 ps15 ps15
 GT ST LT WT CT LE
planning_mode      
classical 6.846349399999951 8.213226500000133 11.96851720000015 11.96851720000015 11.96851720000015 39.0
offline 6.130644000000132 11.601736399999933 17.73929970000006 17.73929970000006 17.73929970000006 39.0
online 5.486327150000182 1.3039561499999976 3.3899349000000716 1.73409830000001 6.786873300000039 40.0
