problem ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3 ps3 ps3
 GT ST LT WT CT LE AC CF GT ST LT WT CT LE AC CF GT ST LT WT CT LE AC CF
planning_mode                        
offline 9.608894399999997 2.085855800000033 11.70881509999947 11.70881509999947 11.70881509999947 27.0 40.0 0.675 14.255745000000019 4.808130499999919 19.1023114999997 19.1023114999997 19.1023114999997 41.0 56.0 0.7321428571428571 21.331292899999312 15.567514500000302 36.95471770000029 36.95471770000029 36.95471770000029 57.0 74.0 0.7702702702702703
online 83.93214314999972 7.546791800000278 2.650177199999874 0.8425327708333452 10.175803700000065 32.0 44.0 0.7272727272727273 130.92974600000173 13.62686150000053 4.178610750000004 1.2592151458333496 15.13447710000099 50.0 64.0 0.7971014492753623 168.0010370499998 17.751496500001053 4.486628249999782 1.5987303333332976 20.028507599999983 68.0 85.0 0.8026315789473685
