 \Theta_h \Theta_h \Theta_h \Theta_s \Theta_s \Theta_s B_d B_d B_d B_e B_e B_e
problem ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3
planning_mode            
offline 2.076923076923077 3.1538461538461537 4.071428571428571 1.4411533842457842 1.7759071354792608 2.017778127403648 0.056568542494923595 0.005326604754701096 0.08495275816375483 0.040032038451271644 0.0037665050593410788 0.060179347659407044
online 2.4615384615384617 3.8461538461538463 4.857142857142857 1.5689290811054724 1.9611613513818404 2.2038926600773587 0.17582114559233059 0.07109152557710373 0.048765984909417054 0.12529641967161748 0.05011576285244785 0.06010460084936157
