problem ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3
 GT ST LT WT CT LE GT ST LT WT CT LE GT ST LT WT CT LE
planning_mode                  
offline 8.573793499999624 3.5305967000000043 12.14216090000004 12.14216090000004 12.14216090000004 39.0 13.012493899999953 7.467550700000032 20.52193490000008 20.52193490000008 20.52193490000008 55.0 20.486640699999384 37.195908199999906 57.74933340000052 57.74933340000052 57.74933340000052 73.0
online 63.40600950000008 12.607112700000698 2.70269260000029 0.7196579958333658 8.478812800000213 41.0 89.49732829999829 19.42508120000042 3.9197344000000385 0.9725615250000411 11.72744014999984 59.0 111.31504099999938 28.572975500000652 4.992756549999243 1.2595838583333425 15.28221019999981 75.0
