  \theta \theta \beta_d \beta_d \beta_e \beta_e b_d b_d b_e b_e
problem  pl1ts pl2dc pl1ts pl2dc pl1ts pl2dc pl1ts pl2dc pl1ts pl2dc
online_bounds AL          
"(1, 2, 2)" 1.0 1.846153846153846 2.192982456140351 0.1892109181183552 0.1522211778375418 0.2444444444444445 0.0544 0.7871753111056019 0.5411859991853869 1.919600938967136 1.77642105263158
"(1, 2, 2)" 2.0 1.888888888888889 1.9 0.2538332035028631 0.1736753497651169 0.05982905982905983 0.04093567251461989 0.7892004626469845 0.7981974151633211 2.038461538461539 1.496491228070176
"(1, 2, 2)" 3.0 2.111111111111111 2.142857142857143 0.0 0.0 0.0 0.0 0.7035623639735145 0.7288909735221389 0.6140350877192984 1.114285714285714
"(1, 2, 3)" 1.0 1.852941176470588 2.192982456140351 0.2206890930597968 0.2704658497708275 0.402197802197802 0.1085714285714285 0.7762104930280551 0.5411859991853869 2.0 1.77263157894737
"(1, 2, 3)" 2.0 1.888888888888889 1.9 0.2538332035028631 0.1736753497651169 0.05982905982905983 0.04093567251461989 0.7892004626469845 0.7981974151633211 2.038461538461539 1.4894736842105272
"(1, 2, 3)" 3.0 2.111111111111111 2.142857142857143 0.0 0.0 0.0 0.0 0.7035623639735145 0.7288909735221389 0.6140350877192984 1.114285714285714
"(1, 3, 3)" 1.0 1.857142857142857 2.172413793103448 0.3288579023020342 0.3280179628570695 0.9059999999999999 0.2214285714285714 0.7549157532554073 0.546276489223776 2.0365079365079373 1.761122807017546
"(1, 3, 3)" 2.0 1.888888888888889 1.933333333333333 0.4005381866966838 0.181649202635392 0.1578947368421053 0.05172413793103453 0.7706666639727915 0.7795197176470267 2.0769230769230775 1.4
"(1, 3, 3)" 3.0 2.111111111111111 2.142857142857143 0.0 0.0 0.0 0.0 0.7035623639735145 0.7288909735221389 0.6198830409356725 1.114285714285714
"(2, 2, 2)" 1.0 1.911764705882353 2.133333333333333 0.27207044270467573 0.3327624564153138 0.5771286378881316 0.2013888888888889 0.7850183902966548 0.5557504660443162 1.962686567164178 2.044791666666666
"(2, 2, 2)" 2.0 1.842105263157895 2.0 0.70410301406951 0.1498845100564941 0.1189189189189189 0.1733333333333333 0.7916985501690044 0.8094272134003795 2.032051282051282 1.516666666666667
"(2, 2, 2)" 3.0 2.111111111111111 2.142857142857143 0.1590990257669732 0.1885618083164126 0.07407407407407407 0.04444444444444444 0.7278587729441753 0.7288909735221389 0.6121743753322701 1.114285714285714
"(2, 2, 3)" 1.0 1.970588235294118 2.166666666666667 0.40843977834972756 0.335250953818269 0.9626373626373631 0.357396449704142 0.8046541008307261 0.5710917814908305 2.1592405618964 1.766666666666666
"(2, 2, 3)" 2.0 1.842105263157895 2.0 0.70410301406951 0.1498845100564941 0.13374613003095975 0.1733333333333333 0.7916985501690044 0.8094272134003795 2.1066856330014225 1.5083333333333335
"(2, 2, 3)" 3.0 2.111111111111111 2.142857142857143 0.1590990257669732 0.1885618083164126 0.07407407407407407 0.04444444444444444 0.7278587729441753 0.7288909735221389 0.608187134502924 1.114285714285714
"(2, 3, 3)" 1.0 1.673469387755102 2.233333333333333 0.297074039106517 0.3644876601612673 0.7380063886318176 0.8295365278868816 0.5432364578082025 0.5237775600779967 0.967155376958289 1.463681592039802
"(2, 3, 3)" 2.0 2.6 2.0 0.6641151864479207 0.3349543915885332 0.21647058823529405 0.3285714285714286 0.962533421879622 0.7542980294561158 1.8341995841995846 1.566666666666667
"(2, 3, 3)" 3.0 2.111111111111111 2.142857142857143 0.1590990257669732 0.1885618083164126 0.07407407407407407 0.04444444444444444 0.7278587729441753 0.7288909735221389 0.7777777777777778 1.114285714285714
"(3, 3, 3)" 1.0 1.770833333333333 2.266666666666667 0.5599285513807426 0.4079612503366464 1.1552655884464835 2.068721719457014 0.6321135646740397 0.5560749955012043 0.8535249798805133 1.6899509803921555
"(3, 3, 3)" 2.0 2.5477272727272724 2.0 1.123839374148447 0.3910850685774101 0.3826923076923078 0.705 1.026442700763413 0.7542980294561158 3.077777777777778 1.55
"(3, 3, 3)" 3.0 2.222222222222222 2.142857142857143 0.5162643950727521 0.5834888681536772 0.2386363636363636 0.125 0.8042853971072705 0.7288909735221389 0.8181818181818185 1.1
