problem pl1ts pl1ts pl1ts pl1ts pl2dc pl2dc pl2dc pl2dc
 "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor" "Hierarchical Expansion Balance Normalised Deviation" "Hierarchical Expansion Balance Normalised Error" "Mean Expansion Factor Per Level" "Overall Hierarchical Expansion Factor"
online_bounds        
"(1, 2, 2)" 0.07299700428549667 0.05555555555555555 1.9487179487179487 1.9329633325496658 0.0753871896659287 0.05728601476360814 2.0786131996658312 2.0745663334156084
"(1, 2, 3)" 0.07167535308319824 0.0547180346175321 1.9509803921568627 1.912931182772389 0.0753871896659287 0.05728601476360814 2.0786131996658312 2.0745663334156084
"(1, 3, 3)" 0.07087640558602724 0.05420054200542005 1.9523809523809523 1.9329633325496658 0.0625778483034504 0.04786181040976859 2.0828680897646414 2.080083823051904
"(2, 2, 2)" 0.0714150057421209 0.053237142829212956 1.9549936933837864 1.9525886675502173 0.03817828717878331 0.029337379868487577 2.0920634920634917 2.0910318342988408
"(2, 2, 3)" 0.06813922700780413 0.04608847981572347 1.9746015365210414 1.9718272332335722 0.04285968562868135 0.03270440251572329 2.1031746031746033 2.101866389548769
"(2, 3, 3)" 0.21779103085969959 0.14779561490742063 2.1281934996220713 2.0714883373025725 0.05535084081758851 0.039332835449340235 2.1253968253968254 2.1232065936419757
"(3, 3, 3)" 0.1789432887817979 0.12519223468396298 2.1802609427609423 2.1464255652129696 0.062460176989550455 0.0425953442298168 2.1365079365079365 2.1337176886843636
