problem   pl1ts pl1ts pl1ts pl1ts pl2dc pl2dc pl2dc pl2dc
   "Total Time" "Wait time" Size Length "Total Time" "Wait time" Size Length
online_bounds AL PN        
"(1, 2, 2)" 1.0 1.0 17.229980400000613 31.332851049998535 10.0 23.0 35.39698389999967 53.227153849999695 16.0 31.0
"(1, 2, 2)" 1.0 2.0 13.59593959999961 17.207382900000596 11.0 19.0 46.77488780000044 54.0178808999981 16.0 37.0
"(1, 2, 2)" 1.0 3.0 8.821327799999494 8.821327799999494 8.0 13.0 24.524274050000713 24.524274050000713 12.0 23.0
"(1, 2, 2)" 1.0 4.0 7.999058849999756 7.999058849999756 8.0 12.0 47.68500505000054 47.68500505000054 13.0 34.0
"(1, 2, 2)" 2.0 1.0 6.80467424999847 14.533868250000975 9.0 21.0 10.76116829999944 17.724133499999425 15.0 32.0
"(1, 2, 2)" 2.0 2.0 4.579960200000869 4.579960200000869 10.0 16.0 7.166640350001217 7.166640350001217 15.0 25.0
"(1, 2, 2)" 3.0 1.0 7.301925150000102 8.54842589999987 9.0 19.0 5.052682149999782 6.709624199998757 14.0 30.0
"(1, 2, 2)" 4.0 1.0 1.2481826999992336 1.2481826999992336 1.0 9.0 1.5626261999987034 1.5626261999987034 1.0 14.0
"(1, 2, 3)" 1.0 1.0 12.738391149999416 26.877637899999794 7.0 18.0 22.041168349997864 39.766154799997594 10.0 21.0
"(1, 2, 3)" 1.0 2.0 8.8963786999999 12.68635219999993 7.0 13.0 21.43583649999846 28.60523619999913 11.0 20.0
"(1, 2, 3)" 1.0 3.0 7.466956399999731 7.466956399999731 7.0 11.0 30.42115135000222 30.42115135000222 11.0 27.0
"(1, 2, 3)" 1.0 4.0 5.312368349999929 5.312368349999929 5.0 8.0 9.569199249998974 9.569199249998974 8.0 10.0
"(1, 2, 3)" 1.0 5.0 5.884573749999618 5.884573749999618 5.0 9.0 24.927381500000134 24.927381500000134 8.0 22.0
"(1, 2, 3)" 1.0 6.0 4.610967900000105 4.610967900000105 6.0 7.0 28.552171049999625 28.552171049999625 9.0 25.0
"(1, 2, 3)" 2.0 1.0 6.763462099999742 14.319775899998834 9.0 21.0 10.8512760499998 17.70283555000003 15.0 32.0
"(1, 2, 3)" 2.0 2.0 4.521916500000316 4.521916500000316 10.0 16.0 7.1561835500006055 7.1561835500006055 15.0 25.0
"(1, 2, 3)" 3.0 1.0 7.207084900000041 8.483386799999039 9.0 19.0 5.01447414999916 6.593458099998088 14.0 30.0
"(1, 2, 3)" 4.0 1.0 1.2257630499998982 1.2257630499998982 1.0 9.0 1.551598800000306 1.551598800000306 1.0 14.0
"(1, 3, 3)" 1.0 1.0 11.266187149999356 25.417095700001482 5.0 16.0 15.63950735000094 29.115982800001234 7.0 16.0
"(1, 3, 3)" 1.0 2.0 4.567391249999673 8.259506499999915 5.0 7.0 13.261422799999991 17.4752469499997 8.0 14.0
"(1, 3, 3)" 1.0 3.0 7.395648350000329 9.536188599999832 6.0 11.0 12.316876449999935 17.38791785000285 8.0 13.0
"(1, 3, 3)" 1.0 4.0 3.2528500500002906 3.2528500500002906 4.0 5.0 15.455990799999196 15.455990799999196 5.0 16.0
"(1, 3, 3)" 1.0 5.0 5.294416899999703 5.294416899999703 4.0 8.0 9.079254650000394 9.079254650000394 5.0 10.0
"(1, 3, 3)" 1.0 6.0 5.173473650000005 5.173473650000005 4.0 8.0 5.642725749999499 5.642725749999499 6.0 6.0
"(1, 3, 3)" 1.0 7.0 1.724480599999822 1.724480599999822 2.0 3.0 16.7204865999995 16.7204865999995 6.0 17.0
"(1, 3, 3)" 1.0 8.0 2.3092968999999357 2.3092968999999357 3.0 4.0 12.499326449999444 12.499326449999444 6.0 13.0
"(1, 3, 3)" 1.0 9.0 2.4022460000001047 2.4022460000001047 3.0 4.0 22.82132084999887 22.82132084999887 7.0 21.0
"(1, 3, 3)" 2.0 1.0 4.856334200000674 13.95048740000027 6.0 16.0 6.622685699998328 13.331808950001431 10.0 23.0
"(1, 3, 3)" 2.0 2.0 3.4849832000001015 3.4849832000001015 6.0 12.0 4.203295550000121 4.203295550000121 10.0 16.0
"(1, 3, 3)" 2.0 3.0 2.11161519999996 2.11161519999996 7.0 8.0 5.0581536999991386 5.0581536999991386 10.0 19.0
"(1, 3, 3)" 3.0 1.0 7.664439550000338 9.083768300000543 9.0 19.0 5.008370199999263 6.586016649999692 14.0 30.0
"(1, 3, 3)" 4.0 1.0 1.2298431999994506 1.2298431999994506 1.0 9.0 1.5410981999989422 1.5410981999989422 1.0 14.0
"(2, 2, 2)" 1.0 1.0 12.146426649999686 19.077911550001545 6.0 17.0 17.96220324999632 27.39265214999955 9.0 18.0
"(2, 2, 2)" 1.0 2.0 8.899878650000119 13.40790274999921 6.0 13.0 15.483688099998975 22.24655544999746 10.0 16.0
"(2, 2, 2)" 1.0 3.0 1.7282803499999488 4.817200299999399 2.0 3.0 21.40934929999969 24.04770789999884 9.0 21.0
"(2, 2, 2)" 1.0 4.0 2.3655704499994954 4.769290449999389 3.0 4.0 17.724287800000415 21.187729250000185 9.0 18.0
"(2, 2, 2)" 1.0 5.0 3.6480839499998297 3.6480839499998297 4.5 5.5 4.732108900000185 4.732108900000185 5.0 5.0
"(2, 2, 2)" 1.0 6.0 7.123870400000001 7.123870400000001 5.5 10.0 15.625628650001545 15.625628650001545 5.0 16.0
"(2, 2, 2)" 1.0 7.0 4.170224649999909 4.170224649999909 4.0 6.5 12.50833059999923 12.50833059999923 6.0 13.0
