problem  pl1ts pl1ts pl1ts pl1ts pl1ts pl1ts pl1ts pl1ts pl1ts pl2dc pl2dc pl2dc pl2dc pl2dc pl2dc pl2dc pl2dc pl2dc
  "Number of Problems" "Mean Problem Size Factor" "Problem Balance Normalised Deviation" "Problem Balance Normalised Error" "Complete-Plan Expansion Factor" "Partial-Plan Expansion Balance Normalised Deviation" "Partial-Plan Expansion Balance Normalised Error" "Sub-Plan Expansion Balance Normalised Deviation" "Sub-Plan Expansion Balance Normalised Error" "Number of Problems" "Mean Problem Size Factor" "Problem Balance Normalised Deviation" "Problem Balance Normalised Error" "Complete-Plan Expansion Factor" "Partial-Plan Expansion Balance Normalised Deviation" "Partial-Plan Expansion Balance Normalised Error" "Sub-Plan Expansion Balance Normalised Deviation" "Sub-Plan Expansion Balance Normalised Error"
online_bounds AL                  
"(1, 2, 2)" 1.0 4.0 0.25 0.1304101327393253 0.07142857142857142 1.5526315789473686 0.1256313020857799 0.1209302325581395 0.6326682253377535 1.7634504418470134 4.0 0.25 0.0821917808219178 0.04931506849315068 2.013698630136986 0.0958545967244893 0.06802721088435375 0.5822732324474643 1.4350013978194005
"(1, 2, 2)" 2.0 2.0 0.5 0.0 0.0 1.866666666666667 0.1698503569429091 0.03571428571428571 0.9821148674918976 2.8051378446115285 2.0 0.5 0.0 0.0 1.659090909090909 0.09686394262829419 0.0228310502283105 0.6089202082319812 1.4374221668742209
"(1, 2, 2)" 3.0 1.0 1.0 0.0 0.0 1.764705882352941 0.0 0.0 0.7895146188218007 0.908349146110057 1.0 1.0 0.0 0.0 2.2 0.0 0.0 0.9635931483667911 2.636363636363635
"(1, 2, 2)" 4.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
"(1, 2, 3)" 1.0 6.0 0.16666666666666669 0.1297564437470353 0.107142857142857 1.5751879699248121 0.1600003097512814 0.2165898617511521 0.676185527755129 1.984815094161736 6.0 0.16666666666666666 0.08081030796576781 0.07632093933463807 2.013698630136986 0.2621899123347265 0.1370262390670554 0.5989156210573 1.533734041561829
"(1, 2, 3)" 2.0 2.0 0.5 0.0 0.0 1.866666666666667 0.1698503569429091 0.03571428571428571 0.9779904108822666 2.867167919799498 2.0 0.5 0.0 0.0 1.659090909090909 0.09686394262829419 0.0228310502283105 0.6226405625252222 1.5280979195511657
"(1, 2, 3)" 3.0 1.0 1.0 0.0 0.0 1.764705882352941 0.0 0.0 0.8853749990195617 0.9294117647058825 1.0 1.0 0.0 0.0 2.2 0.0 0.0 0.9625433902762094 2.636363636363635
"(1, 2, 3)" 4.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
"(1, 3, 3)" 1.0 9.0 0.11111111111111112 0.3388154635894692 0.331578947368421 1.5751879699248121 0.20173250898457074 0.4832584269662922 0.6366332362646727 1.561276755106154 9.0 0.11111111111111112 0.0963784060237691 0.1091549295774649 2.013698630136986 0.23667095381946734 0.186800763470856 0.582220049939205 1.6315229506535625
"(1, 3, 3)" 2.0 3.0 0.3333333333333333 0.0 0.0 1.866666666666667 0.382239690643716 0.1184210526315789 0.9830263821446977 2.7289190718732326 3.0 0.3333333333333334 0.03936479108111085 0.01704545454545452 1.659090909090909 0.117689422891237 0.03296835809376806 0.6072790027536805 1.2905963403283236
"(1, 3, 3)" 3.0 1.0 1.0 0.0 0.0 1.764705882352941 0.0 0.0 0.8333774177723958 0.8931372549019609 1.0 1.0 0.0 0.0 2.2 0.0 0.0 0.968684231786848 2.511363636363635
"(1, 3, 3)" 4.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
"(2, 2, 2)" 1.0 8.0 0.125 0.374124877754631 0.31848352937544383 1.596491228070176 0.1901591786139165 0.4599483204134367 0.6513000227316779 1.9596987315010574 8.0 0.125 0.28997498713567516 0.35817951851137264 2.013333333333333 0.2824316071993407 0.4560639070442992 0.594955689048813 1.5870644479176226
"(2, 2, 2)" 2.0 4.0 0.25 0.1721325931647741 0.1333333333333333 1.8479262672811059 0.5492974229282708 0.15443349753694585 0.9809175800764733 2.8333333333333335 4.0 0.25 0.2099455524325912 0.1454545454545455 1.659090909090909 0.1599695444265343 0.1643835616438356 0.6360650282873369 1.3605581183238908
"(2, 2, 2)" 3.0 2.0 0.5 0.0831890330807703 0.0196078431372549 1.823529411764706 0.1057386529274328 0.04444444444444444 0.7315187400289399 0.8549249611868208 2.0 0.5 0.0 0.0 2.2 0.25712973861329 0.0606060606060606 0.9737753152069049 2.339826839826839
"(2, 2, 2)" 4.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
"(2, 2, 3)" 1.0 12.0 0.08333333333333333 0.3692744729379981 0.5182186234817814 1.568965517241379 0.22609020733866386 0.7808297160748594 0.5844143357571334 1.6271133880717235 12.0 0.08333333333333333 0.2571418010878405 0.5374077976817706 2.013698630136986 0.338953774597731 0.6350025813113064 0.5952545728036589 1.3669714726011764
"(2, 2, 3)" 2.0 4.0 0.25 0.1443375672974064 0.1 1.838709677419355 0.5365098432246285 0.1614035087719298 0.9773598546816669 2.7611215538847116 4.0 0.25 0.2099455524325912 0.1454545454545455 1.659090909090909 0.15418068897872894 0.1589041095890411 0.6145297286067328 1.3424657534246571
