   IT IT PN PN TT TT WT WT SIZE SIZE LE LE AC AC CF CF PP_EF_L PP_EF_L SP_EB_L SP_EB_L
statistic   0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR 0.5 IQR
problem online_bounds AL                    
pl1ts "(1, 2, 2)" 1 2.5 1.5 2.5 1.5 7.313670149999211 3.3030606499988266 11.99311295000018 40.71144887498798 14.5 3.0 22.0 7.25 22.0 7.25 1.0 0.0 1.466666666666667 0.26838235294117596 0.5659526358850486 0.2491752944840701
pl1ts "(1, 2, 2)" 2 1.5 1.0 1.5 1.0 6.664880450000055 1.8738023249960634 17.420660099999395 77.68420292499923 15.0 0.0 28.5 6.0 28.5 6.0 1.0 0.0 1.8666666666666665 0.4416666666666669 0.8104078857695274 0.5195149933430854
pl1ts "(1, 2, 2)" 3 1.0 0.0 1.0 0.0 69.48063330000059 62.77328747499607 71.54279544999758 62.618001024994754 17.0 0.0 30.0 1.0 30.0 1.0 1.0 0.0 1.764705882352941 0.05882352941176516 0.7895146188218007 0.35470480682414096
pl1ts "(1, 2, 2)" 4 1.0 0.0 1.0 0.0 2.17576975000091 0.18536279999534555 2.17576975000091 0.18536279999534555 1.0 0.0 17.0 0.0 17.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0
pl1ts "(1, 2, 3)" 1 3.5 3.0 3.5 3.0 4.284575250000103 2.318994125001269 4.765080850001482 7.504980299998914 9.5 3.0 16.0 7.0 16.0 7.0 1.0 0.0 1.6 0.44999999999999996 0.565685424949238 0.2642233179423613
pl1ts "(1, 2, 3)" 2 1.5 1.0 1.5 1.0 6.727574700001014 2.146246724998946 20.0097300000034 88.16349249999894 15.0 0.0 28.5 6.0 28.5 6.0 1.0 0.0 1.8666666666666665 0.4416666666666669 0.8341810284139051 0.5487630328371205
pl1ts "(1, 2, 3)" 3 1.0 0.0 1.0 0.0 81.91185745000178 63.7999115000026 84.17810705000102 63.570343675006 17.0 0.0 30.0 1.0 30.0 1.0 1.0 0.0 1.764705882352941 0.05882352941176516 0.8853749990195617 0.43634401628284647
pl1ts "(1, 2, 3)" 4 1.0 0.0 1.0 0.0 2.1719901500002834 0.17016332499866849 2.1719901500002834 0.17016332499866849 1.0 0.0 17.0 0.0 17.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0
pl1ts "(1, 3, 3)" 1 5.0 4.0 5.0 4.0 2.6048970999993344 2.149737650000248 2.6216721500001086 4.981422024999517 7.0 4.0 11.0 8.0 11.0 8.0 1.0 0.0 1.571428571428571 0.42857142857142794 0.5029498781008469 0.2708203932499368
pl1ts "(1, 3, 3)" 2 2.0 2.0 2.0 2.0 3.7263076499998533 2.7015082500007566 3.7263076499998533 56.40413659999819 10.0 0.0 20.0 14.0 20.0 14.0 1.0 0.0 1.909090909090909 1.4 0.6478835438717 0.7843741103830479
pl1ts "(1, 3, 3)" 3 1.0 0.0 1.0 0.0 80.1213689999995 48.460050075001696 82.38525439999853 48.300542025003196 17.0 0.0 30.0 1.0 30.0 1.0 1.0 0.0 1.764705882352941 0.05882352941176516 0.8333774177723958 0.2166736781537778
pl1ts "(1, 3, 3)" 4 1.0 0.0 1.0 0.0 2.1919499000007363 0.18382297499954303 2.1919499000007363 0.18382297499954303 1.0 0.0 17.0 0.0 17.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0
pl1ts "(2, 2, 2)" 1 4.5 3.5 4.5 3.5 2.8045391000001416 3.1830236500007345 3.6299580000004426 6.156960625000849 8.0 5.0 11.0 11.0 11.0 11.0 1.0 0.0 1.5 0.5 0.5006882315714639 0.2708203932499368
pl1ts "(2, 2, 2)" 2 2.5 1.5 2.5 1.5 2.5764573499998846 2.282762850001518 4.055495700000122 5.194564200001992 8.0 2.0 15.0 9.25 15.0 9.25 1.0 0.0 1.6833333333333336 1.4047619047619053 0.6 0.5878397396606181
pl1ts "(2, 2, 2)" 3 1.5 1.0 1.5 1.0 2.9900022500003445 1.3822822999996727 4.311767650000206 1.3183696250010462 8.5 1.0 16.0 4.0 16.0 4.0 1.0 0.0 1.875 0.25 0.6614378277661477 0.33784137768426226
pl1ts "(2, 2, 2)" 4 1.0 0.0 1.0 0.0 2.204410249999981 0.16946337500075925 2.204410249999981 0.16946337500075925 1.0 0.0 17.0 0.0 17.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0
pl1ts "(2, 2, 3)" 1 6.5 5.5 6.5 5.5 1.6452534500002685 1.6950455999997591 1.964419249999821 3.5345283000019947 5.0 4.0 7.0 7.0 7.0 7.0 1.0 0.0 1.428571428571429 0.46428571428571397 0.4330127018922193 0.1704750164019755
pl1ts "(2, 2, 3)" 2 2.5 1.5 2.5 1.5 2.557386999999835 2.351449625000143 3.905133649999641 4.985812650000227 8.0 2.0 15.0 10.0 15.0 10.0 1.0 0.0 1.666666666666667 1.575892857142857 0.6019036822122799 0.5692168594423297
pl1ts "(2, 2, 3)" 3 1.5 1.0 1.5 1.0 2.890930850000018 1.1657830499992197 4.303036849999955 1.5964658499996887 8.5 1.0 16.0 4.0 16.0 4.0 1.0 0.0 1.875 0.25 0.6850884726360918 0.3315944079632277
pl1ts "(2, 2, 3)" 4 1.0 0.0 1.0 0.0 2.1668143999997933 0.15830897499796537 2.1668143999997933 0.15830897499796537 1.0 0.0 17.0 0.0 17.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0
