problem ps1 ps1 ps1 ps1 ps1 ps1 ps2 ps2 ps2 ps2 ps2 ps2 ps3 ps3 ps3 ps3 ps3 ps3
 GT ST LT WT CT LE GT ST LT WT CT LE GT ST LT WT CT LE
blend_quantity                  
1 66.6323528999996 10.991741150000195 3.688361950000427 1.208297412499995 9.949092849999374 34.0 88.50861635000055 16.050259199999914 6.554174649999965 1.6345504875001424 13.174883250000676 49.0 116.50439264999756 23.154423450000394 7.194160299999794 2.2511682249999936 18.73518744999913 65.0
2 73.59745844999992 12.623221899999976 4.242531250000013 1.436866185714271 11.021469099999905 32.5 95.0430573499994 17.669326000001092 6.941674099999915 1.9005928133928576 14.337397500000295 47.0 127.14645524999912 26.44677659999944 7.562977549999573 2.50359331875001 19.90308069999972 63.0
3 76.67869474999955 13.667937300000347 4.717989799999941 1.59767236428575 11.518459449999625 32.0 100.03189140000029 19.320987199999763 7.197660550000066 2.13675477142855 15.073478350000244 46.5 136.1758387500018 30.264148199999944 7.955638300000032 2.7912571312499774 21.279491049999365 61.5
NONE 60.485096599999835 10.018130400000018 3.29219535000016 1.1616425375000254 9.021887549999507 36.5 83.96604284999964 15.043020050000322 5.9461015500002645 1.540906337500065 12.430575650000034 53.0 109.85316800000153 21.65453604999962 6.741091749999754 2.072839512500067 17.577395099999706 71.0
