bound_type cumt cumt cumt sl sl sl
 QL_SCORE TI_SCORE GRADE QL_SCORE TI_SCORE GRADE
problem      
ps3 0.879039139550489 0.9967980180884478 0.8748977152298112 0.8481657047398486 0.9990788887590559 0.8470580397361407
ps3ts 0.8737864980413719 0.9942563851492017 0.8671738140450325 0.8771252686823063 0.9997157998896041 0.8768082907964869
