bound_type   cumt cumt cumt cumt cumt cumt cumt cumt sl sl sl sl sl sl sl sl
   "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation" "Wait time" "Yield time" "Percent wait time" "Percent yield time" Size Length "Expansion factor" "Sub-Plan expansion deviation"
problem AL PN                
ps3 2.0 12.0         0.1863374999998086 8.236455200001274   2.0 2.0 1.0 0.0
ps3 3.0 1.0 1.9033034500001236 1.9033034500001236   1.0 20.0 1.0 0.0 1.9137791500000105 1.9137791500000105   1.0 20.0 1.0 0.0
ps3ts 1.0 1.0 4.451004850000174 4.451004850000174   3.0 6.0 1.6 0.5477225575051661 3.2046975499999246 3.2046975499999246   3.0 6.0 1.6 0.5477225575051661
ps3ts 1.0 2.0 2.804046549999811 7.17766859999989   3.0 7.0 2.25 2.081665999466133 2.1278975999999266 5.295821300000512   3.0 5.0 1.5 0.0
ps3ts 1.0 3.0 1.6543323999998591 8.856705649998617   3.0 5.0 1.666666666666667 0.5773502691896257 1.6662601999995559 7.09180825000016   4.0 4.0 1.8 0.0
ps3ts 1.0 4.0 1.525650799999653 10.415785949999645   3.0 6.0 1.666666666666667 0.5773502691896257 1.2183716000000686 8.377064249999648   3.0 4.0 1.577777777777778 0.4472135954999579
ps3ts 1.0 5.0 1.1128532999998129 11.232660649999985   3.0 5.0 1.5 0.5773502691896257 1.194297050000273 9.70984815000054   3.0 6.0 1.333333333333333 0.5773502691896257
ps3ts 1.0 6.0 1.046040400000038 11.89059915000024   4.0 6.0 1.6 0.5 1.0351033000004008 10.758088549998604   3.0 5.0 1.6 0.0
ps3ts 1.0 7.0 0.8552482000003465 12.56691089999984   4.0 5.0 1.333333333333333 0.5 0.88928849999985 11.58801850000168   4.0 4.0 1.333333333333333 0.5163977794943222
ps3ts 1.0 8.0 0.7120074000000614 13.216909899999745   4.0 5.0 1.666666666666667 0.5477225575051661 0.8139804999993885 12.15323200000009   3.0 4.0 1.5 0.5773502691896257
ps3ts 1.0 9.0 0.5992360999999278 13.6767712000003   3.0 5.0 1.333333333333333 0.5163977794943222 0.7075394499999845 12.563195649999841   3.0 4.0 1.5 0.5163977794943222
ps3ts 1.0 10.0 0.5905379000000721 14.1163779000002   3.0 5.0 1.5 0.5773502691896257 0.6150985999999534 13.01502319999929   3.0 4.0 1.333333333333333 0.5773502691896257
ps3ts 1.0 11.0 0.5926655999999184 14.56713000000002   3.0 5.0 1.666666666666667 0.5773502691896257 0.4881919000004018 13.45472809999978   3.0 4.0 1.333333333333333 0.5773502691896257
ps3ts 1.0 12.0 0.5885857999998052 15.05820320000123   3.0 5.0 1.666666666666667 0.5773502691896257 0.4781057000000146 13.846819849999575   2.0 4.0 1.333333333333333 0.5773502691896257
ps3ts 1.0 13.0 0.5843812000001662 15.63249680000034   3.0 5.0 1.5 0.5773502691896257 0.4756144500001369 14.19480749999872   2.0 4.0 1.5 0.5773502691896257
ps3ts 1.0 14.0 0.5843854000000306 16.15092380000124   3.0 5.0 1.5 0.5773502691896257 0.47472969999996906 14.634322850000125   2.0 4.0 1.5 0.5773502691896257
ps3ts 1.0 15.0 0.5797663000002444 16.652112949999765   3.0 4.0 1.333333333333333 0.5 0.47584969999968507 15.090650750000524   2.0 4.0 1.5 0.5773502691896257
ps3ts 1.0 16.0 0.584565900000257 17.32106900000011   3.0 5.0 1.333333333333333 0.5773502691896257 0.4699503999997887 15.48817570000013   2.0 4.0 1.5 0.0
ps3ts 1.0 17.0 0.5890466499997729 17.943904649999553   3.0 5.0 1.333333333333333 0.5773502691896257 0.4728377000000137 15.86587890000044   2.0 4.0 1.5 0.5773502691896257
ps3ts 1.0 18.0 0.5730227000001378 18.50911299999973   3.0 4.0 1.333333333333333 0.5773502691896257 0.4719898500001136 16.299813099999767   2.0 4.0 1.333333333333333 0.5773502691896257
ps3ts 1.0 19.0 0.5807269999996834 19.25207920000071   3.0 4.0 1.5 0.5773502691896257 0.4735651000000871 16.78078779999782   3.0 4.0 1.333333333333333 0.5773502691896257
ps3ts 1.0 20.0 0.5877789999998413 20.16037769999957   3.0 5.0 1.5 0.5773502691896257 0.472545499999967 17.45969800000013   2.0 4.0 1.333333333333333 0.0
ps3ts 1.0 21.0 0.5654903000001923 20.87644459999956   2.0 4.0 1.333333333333333 0.5773502691896257 0.4758167000001094 18.12261809999814   2.0 4.0 1.333333333333333 0.0
ps3ts 1.0 22.0 0.5898413999999548 21.310115400002246   3.0 5.0 1.333333333333333 0.5773502691896257 0.47266385000000355 18.905641899999864   2.0 4.0 1.5 0.5773502691896257
ps3ts 1.0 23.0 0.4834245499999241 21.7473249500013   2.0 4.0 1.5 0.5773502691896257 0.4783293000000413 19.63693800000016   2.0 4.0 1.666666666666667 0.5773502691896257
ps3ts 1.0 24.0 0.595090599999935 22.80072079999968   2.0 5.0 2.0 0.7071067811865476 0.4781848000000082 20.2515924000013   2.0 4.0 2.0 0.5773502691896257
ps3ts 1.0 25.0 0.6013041500000327 23.70465235000006   2.5 5.0 1.875 0.978713553878169 0.4766260499999646 20.829412150001133   2.0 4.0 1.5 0.5773502691896257
