bound_type cumt cumt cumt cumt cumt cumt sl sl sl sl sl sl
 GT ST LT WT CT LE GT ST LT WT CT LE
problem            
ps3 150.27925384999907 37.22702249999942 4.303742799999952 1.3135593419230016 15.25638934999955 73.0 153.01246359999897 35.36785375000065 3.580391650000024 1.1436635837662577 15.133039449999956 77.0
ps3ts 288.2923363500018 59.46514965000125 4.451004850000174 1.1136678431372982 17.01254144999814 77.0 285.59777804999874 49.73053494999982 3.2046975499999246 0.9095316156862694 16.332855650000454 76.0
