  \theta \theta \theta \beta_d \beta_d \beta_d \beta_e \beta_e \beta_e b_d b_d b_d b_e b_e b_e
problem  ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3 ps1 ps2 ps3
online_bounds AL               
"(2, 2)" 1.0 1.8461538461538458 1.823529411764706 1.931818181818182 0.46046879027969945 0.2533844270122845 0.3011719215907106 0.1894736842105263 0.3160031225604996 0.144 0.7156567059518394 0.9259227315823839 0.7425179787656853 1.426463473633285 1.698095506145041 1.6317623854472854
"(2, 2)" 2.0 1.444444444444444 1.888888888888889 2.2 0.4351426345763369 0.6655122646461623 0.26325187524693977 0.1025641025641026 0.1568627450980392 0.06204906204906205 0.5923282596182288 1.16114586470114 0.9511788432374488 1.7884615384615383 3.382352941176471 2.430194805194804
"(2, 4)" 1.0 1.923076923076923 1.823529411764706 1.8955627705627704 0.4823177892069286 0.4658473207101876 0.4011748390346108 0.5326278659611993 0.6944715976974042 0.397037037037037 0.9747533021231577 0.8262042973617223 0.8746145365780686 1.542819624709779 1.0066561907020875 1.6033374138264294
"(2, 4)" 2.0 1.444444444444444 1.888888888888889 2.2 0.4351426345763369 0.6655122646461623 0.26325187524693977 0.1025641025641026 0.1568627450980392 0.06204906204906205 0.5923282596182288 1.146859178793145 0.9396768622673667 1.807692307692308 3.352941176470589 2.420454545454543
"(2, 6)" 1.0 2.115384615384615 2.029411764705882 2.022727272727273 0.9738702323271891 0.9888359782993623 0.5761581092149344 0.7468531468531466 0.8731443994601888 0.4880636604774536 1.326815344151549 1.067818638609827 1.0614135712361235 2.2433566433566434 1.9359653230551255 2.1436352011160196
"(2, 6)" 2.0 1.444444444444444 1.888888888888889 2.2 0.4351426345763369 0.6655122646461623 0.25712973861329 0.1025641025641026 0.1568627450980392 0.0606060606060606 0.5923282596182288 1.146859178793145 0.9511788432374488 1.807692307692308 3.382352941176471 2.0795454545454533
"(4, 2)" 1.0 2.038461538461538 2.0 1.952380952380952 0.7966440314605514 0.8251129461552701 0.6592163982742991 0.570230607966457 0.7687468290208016 0.574180781095396 0.8199774075913937 0.9844430574855372 0.9542890683587469 2.166182873730043 2.1202809482001763 2.190543318053358
"(4, 2)" 2.0 1.444444444444444 1.888888888888889 2.2 0.4895354638983791 0.891132788679007 0.5797311051426967 0.2461538461538462 0.4705882352941176 0.3272727272727273 0.5923282596182288 1.16114586470114 0.9454278527524078 1.846153846153846 3.411764705882354 2.420454545454543
"(4, 4)" 1.0 2.346153846153846 2.088235294117647 1.976190476190476 0.8985359482632822 0.9082141665344453 0.7033148597531216 1.4035567715458281 1.5689036177851419 1.2653061224489797 1.385192053396708 1.285314682798119 0.9789690859916957 2.3000000000000007 2.12435039531 2.4386238924388923
"(4, 4)" 2.0 1.444444444444444 1.888888888888889 2.2 0.4895354638983791 0.891132788679007 0.5797311051426967 0.2461538461538462 0.4705882352941176 0.3272727272727273 0.5923282596182288 1.16114586470114 0.9396768622673667 1.826923076923077 3.411764705882354 2.3977272727272707
"(4, 6)" 1.0 2.153846153846154 2.117647058823529 2.034090909090909 1.390635553934691 1.4635216197081862 0.7474497436275294 1.868788819875777 2.364988558352402 1.7164702581369244 0.6735719480740492 0.6687833515115713 1.054125237923146 2.2096153846153834 2.437235029146793 2.5664141414141417
"(4, 6)" 2.0 1.444444444444444 1.888888888888889 2.2 0.4895354638983791 0.891132788679007 0.5749595745760689 0.2461538461538462 0.4705882352941176 0.2545454545454545 0.5923282596182288 1.16114586470114 0.9511788432374488 1.846153846153846 3.441176470588236 2.090909090909089
"(6, 2)" 1.0 2.115384615384615 1.826086956521739 1.9162087912087915 0.9879890238595463 1.1334765170690817 0.6125876747606626 1.120192307692308 0.8076923076923077 0.7256242668007373 1.404418058358916 1.223448158617846 1.082707141375022 2.050349650349651 3.417701863354036 3.551717325227964
"(6, 2)" 2.0 1.444444444444444 2.555555555555555 2.6 0.4041207857404215 0.6735623210795507 0.5256858158639495 0.4615384615384617 0.7453416149068322 0.3244255744255744 0.5923282596182288 1.208863715536973 1.005272901166013 1.769230769230769 3.130434782608697 2.1911375661375665
"(6, 4)" 1.0 2.307692307692307 1.9678538390379274 2.0 1.406625949158681 1.614482792489726 0.7849627924274569 1.696022727272727 1.2877743054793704 1.5383321679803377 0.6847618311735101 0.7461929974053765 0.9166772836568888 2.27051282051282 3.199952221691351 2.8002055150569998
"(6, 4)" 2.0 1.444444444444444 2.555555555555555 2.6 0.4041207857404215 0.6549241328846499 0.5672429954737112 0.4615384615384617 0.7453416149068322 0.31514913657770804 0.5923282596182288 1.202133098006172 1.0568864821789965 1.7884615384615383 3.130434782608697 2.2410714285714297
"(6, 6)" 1.0 2.307692307692307 1.8661067193675889 1.982142857142857 1.326806944007555 1.2615079990677134 0.7225483745715864 2.086538461538462 1.3308477237048661 1.855346826902804 0.6847618311735101 0.7572365563125346 0.7495872960625072 2.253846153846153 2.837857040472012 2.56219049258822
"(6, 6)" 2.0 1.444444444444444 2.555555555555555 2.7 0.4041207857404215 0.6642432269821004 0.5163806516710774 0.4615384615384617 0.7453416149068322 0.30339105339105343 0.5923282596182288 1.202133098006172 1.0024812333419373 1.769230769230769 3.130434782608697 1.9301948051948044
